Latitude,Longitude,Depth to water (ft),lastLoc
37.17666666666666,-94.28694444444444,292.79,3709070931441d
37.17777777777778,-76.58805555555556,113.82,3710360941713d
37.18944444444444,-78.19555555555556,15.89,3710400763517d
37.19222222222222,-76.68194444444445,87.38,3711220781144d
37.19222222222222,-76.68194444444445,83.56,3711320764055d
37.202222222222225,-76.56972222222223,142.83,3711320764055d
37.202222222222225,-76.56972222222223,142.56,3712080763411d
37.24305555555556,-93.22972222222222,353.91,3712080763411d
37.261944444444445,-76.00944444444444,12.05,3714350931347d
37.263333333333335,-93.24638888888889,18.63,3715430760034d
37.263333333333335,-93.24638888888889,227.84,3715480931447d
37.278888888888886,-77.41277777777778,15.86,3715480931447d
37.28138888888889,-79.9225,18.88,3716440772446d
37.3,-92.16333333333334,267.65,3716530795521d
37.30027777777777,-93.43444444444445,187.14,3718000920948d
37.311388888888885,-81.97833333333334,19.55,3718010932604d
37.34805555555556,-78.82722222222222,1.88,3718410815842d
37.362500000000004,-76.82555555555555,185.66,3720530784938d
37.36388888888889,-79.7063888888889,33.47,3721450764932d
37.36472222222223,-91.53972222222222,64.79,3721500794223d
37.36555555555556,-76.7213888888889,129.07,3721530913223d
37.36555555555556,-76.7213888888889,128.87,3721560764317d
37.367222222222225,-94.61722222222221,239.24,3721560764317d
37.367222222222225,-94.61722222222221,253.19,3722020943702d
