Latitude,Longitude,Depth to water (ft),lastLoc,Address
40.90972222,-98.72388889,69.74,4053440793802d,Nebraska
40.89555556,-79.63388889,20.08,4053200784839d,Pennsylvania
40.88888889,-78.81083333,32.95,4053150983043d,Indiana
40.8875,-98.51194444,15.71,4052270981656d,Nebraska
40.87416667,-98.28222222,8.22,	405215084335d,Nebraska
4.089166667,-508.7263889,26.53,4051370990852d,Other
40.86027778,-99.14777778,134.24,4051290990902d,Nebraska
40.85805556,-99.15055556,133.87,4051180995149d,Nebraska
40.855,-99.86361111,9.22,4050400983845d,Nebraska
40.84444444,-98.64583333,37.34,4050140995910d,Nebraska
40.83722222,-99.98611111,9.05,4049490994457d,Nebraska
40.83027778,-99.74916667,14.26,4049340744005d,Nebraska
40.82611111,-74.66805556,5.65,4048040964033d,New Jersey
40.80111111,-96.67583333,22.88,4047450751840d,Nebraska
40.79583333,-75.31111111,39.55,4047170994605d,Pennsylvania
40.78805556,-99.76805556,8.52,4047080760707d,Nebraska
40.78555556,-76.11861111,48.54,	404655081553d,Pennsylvania
4.084722222,-508.2647222,44.26,	404648083412d,Other
4.084444444,-808.57,9.2,4046180985044d,Other
40.77166667,-98.84555556,19.49,4045560775251d,Nebraska
40.76555556,-77.88083333,82.18,4045130981812d,Pennsylvania
40.75361111,-98.30333333,54.66,4045130981812d,Nebraska
40.75361111,-98.30333333,55.02,4043430992729d,Nebraska
40.72861111,-99.45805556,16.75,4043310850647d,Nebraska
40.72527778,-85.11305556,24.76,4042390763620d,Indiana
40.71083333,-76.60555556,17.3,4041400773540d,Pennsylvania
40.69444444,-77.59444444,52.9,4041060741719d,Pennsylvania
40.685,-74.28861111,5.71,4039540991521d,New Jersey
40.665,-99.25583333,10.06,4039390765910d,Nebraska
40.66083333,-76.98611111,18.76,4038360853744d,Pennsylvania
40.64333333,-85.62888889,115.96,4037530965810d,Indiana
40.63138889,-96.96944444,17.81,4037340800630d,Nebraska
40.62611111,-80.10833333,6.42,4037190750918d,Pennsylvania
40.62194444,-75.155,6.32,4035170744525d,New Jersey
40.58805556,-74.75694444,19.03,4034550745148d,New Jersey
40.58194444,-74.86333333,9.5,4034520922929d,New Jersey
40.58111111,-92.49138889,11.14,4034290753924d,Missouri
40.57472222,-75.65666667,58.54,4034070861757d,Pennsylvania
40.56861111,-86.29916667,7.4,4033010944923d,Indiana
40.55027778,-94.82305556,2.02,4032260753430d,Missouri
40.54055556,-75.575,5.45,4030550943647d,Pennsylvania
